№ п/п,№ п/п (по субъектам),"Регистрационный номер в едином государственном реестре объектов культурного наследия (памятников истории 
и культуры) народов Российской Федерации",Наименование объекта культурного наследия,"Датировка, автор",Категория историко-культурного значения объекта культурного наследия,Вид объекта культурного наследия,"Номер акта органа государственной власти
о постановке
на государственную охрану
и о внесении
изменений
в описание*",Тип улицы,Название улицы,Номер дома
798,462,661710995150005,Дом обороны,"1934 г., архитектор Г.П. Валенков",регионального значения,памятник,859-ПП; 207-ПП,,"ул. Малышева, д. 31-д / ул. Воеводина, д. 6",
799,463,661410160350005,Дом И.Х. Гофмейстера,"середина 
XIX в.",регионального значения,памятник,75,,"ул. Малышева, д. 35",
800,464,661710759250005,Дом жилой И.А. Петрова,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. Малышева, д. 41 /
ул. Толмачева, д. 1",
801,465,661710760440005,Дом контор,"1929 г., архитектор В.И. Смирнов",регионального значения,памятник,859-ПП,,"ул. Малышева, д. 42",
802,466,661710759390005,Здание бывшей городской думы,1905 г.,регионального значения,памятник,75,,"ул. Малышева, д. 46",
803,467,661711004920006,"Дом, в котором находился штаб областного Екатеринбургского комитета РСДРП (б) во главе 
с Малышевым, Вайнером 
и Хохряковым",,федерального значения,памятник,624,,"ул. Малышева, д. 46",
804,468,661710760160005,"Здание гостиницы «Эрмитаж», в которой в 1928 г. останавливался 
В.В. Маяковский",,регионального значения,памятник,75,,"ул. Малышева, д. 56",
805,469,661710760180005,Доходный дом,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. Малышева, д. 58/37",
806,470,661710760190005,"Здание фотоателье 
Ф.С. Мурдасова 
и А.Ф. Кузнецова",1924-1926 гг.,регионального значения,памятник,75; 207-ПП,,"ул. Малышева, д. 58а",
807,471,661721004940005,Усадьба купца А.А. Волкова,"вторая половина
XIX в.",регионального значения,ансамбль,859-ПП; 207-ПП,,"ул. Малышева, д. 64 / 
ул. Гоголя, д. 1",
808,472,661711004940015,дом жилой с магазином,,регионального значения,памятник,,,,
809,473,661711004940025,магазин,,регионального значения,памятник,,,,
810,474,661711004940035,лавка,,регионального значения,памятник,,,,
811,475,661710769270005,«Американская гостиница» купца П.В. Холкина,"вторая половина
XIX в.",регионального значения,памятник,16; 207-ПП,,"ул. Малышева, д. 68",
812,476,661710998550005,Гостиница «Центральная»,"1928 г., архитектор 
В. Дубровин",регионального значения,памятник,859-ПП,,"ул. Малышева, д. 74",
813,477,661710943900005,Дом жилой,1950-е гг.,регионального значения,памятник,859-ПП,,"ул. Малышева, д. 76",
814,478,661711035480005,Особняк в стиле модерн,начало XX в.,регионального значения,памятник,75,,"ул. Мамина-Сибиряка, д. 99",
815,479,661711086590005,Особняк О-Р-Ф Шмидена,конец XIX в.,регионального значения,памятник,75,,"ул. Мамина-Сибиряка, д. 114",
816,480,661711004750006,Дом промышленности,"1931-1937 гг., архитектор Фридман",федерального значения,памятник,624,,"ул. Мамина-Сибиряка, д. 145",
817,481,661720998530005,Усадьба Филитц,конец XIX в.,регионального значения,ансамбль,75,,"ул. Мамина-Сибиряка, д. 187",
818,482,661720998530015,территория сада с прудом,,регионального значения,ансамбль,,,,
819,483,661710998530025,ограда палисадника,,регионального значения,памятник,,,,
820,484,661710998530035,Бывший дом Филитц,,регионального значения,памятник,889,,,
821,485,661710917080005,"Учебный корпус факультета цветных металлов Уральского политехнического института 
им. С.М. Кирова, где в 1933-1972 гг. работал ученый-металлург В.И. Смирнов",,регионального значения,памятник,454,,"ул. Мира, д. 17",
822,486,661710917070006,Здание Политехнического института,"1929-1939 гг., архитекторы Г.Я. Вольфензон, А.П. Уткин, К.Т. Бабыкин",федерального значения,памятник,624,,"ул. Мира, д. 19",
823,487,661720943950005,Институт политехнический. Комплекс учебных зданий,,регионального значения,ансамбль,859-ПП,,,
824,488,661710943950015,корпус физико-технологического факультета,1949-1956 гг.,регионального значения,памятник,,,"ул. Мира, д. 21",
825,489,661710943950025,корпус химико-технологического факультета,1929-1934 гг.,регионального значения,памятник,,,"ул. Мира, д. 28",
826,490,661710751530005,"Место захоронения 64 советских воинов, умерших 
от ран в госпиталях 
г. Свердловска в 1941-45 гг.",,регионального значения,памятник,75,,Михайловское кладбище,
827,491,661710752980005,Могила поэта А.Я. Коца,1943 г.,регионального значения,памятник,454,,Михайловское кладбище,
828,492,661720917120005,"Институт физиотерапии 
и профзаболеваний","1929-1930 гг., архитектор Г.А. Голубев",регионального значения,ансамбль,75; 1056-ПП,,,
829,493,661710917120015,физиотерапевтический институт,,регионального значения,памятник,,,"ул. Московская, д. 12",
830,494,661710917120035,"институт профзаболеваний 
и гигиены",,регионального значения,памятник,,,"ул. Репина, д. 2",
831,495,661710917120025,общежитие и лаборатория,,регионального значения,памятник,,,"ул. Московская, д. 14",
832,496,661720776870005,Комплекс зданий общества «Красного Креста»,,регионального значения,ансамбль,75,,"ул. Московская, д. 19",
833,497,661710776870015,здание общества,,регионального значения,памятник,,,,
834,498,661710776870025,здание лабораторий,,регионального значения,памятник,,,,
835,499,661710776850005,Водонапорная башня,начало XX в.,регионального значения,памятник,75,,"ул. Московская, 
д. 28-б",
836,500,661710943930005,Дом причта Успенской церкви,"вторая половина
XIX в.",регионального значения,памятник,75,,"ул. Нагорная, д. 50",
837,501,661710917170005,"Здание первой в городе обсерватории, где в 1880 г. бывал Д.И. Менделеев","построена 
в 1835 г., архитектор М.П. Малахов",регионального значения,памятник,75,,"ул. Народной Воли, 
д. 64",
838,502,661610669930005,"Могила краеведа 
В.П. Бирюкова",1971 г.,регионального значения,памятник,454,,Нижнеисетское кладбище,
839,503,661711298450005,Могила селекционера-биохимика Л.И. Вигорова,1976 г.,регионального значения,памятник,454,,Нижнеисетское кладбище,
840,504,661711004810005,Место захоронения героев гражданской войны,,регионального значения,памятник,75,,Нижнеисетское кладбище,
841,505,661710832120005,"Место захоронения 14 советских воинов, умерших 
от ран в госпиталях г. Свердловска в 1941-45 г.",,регионального значения,памятник,75,,Нижнеисетское кладбище,
842,506,661720943830005,Усадьба Жолобова,1840-1880 гг.,регионального значения,ансамбль,75,,"ул. Октябрьской революции, д. 35",
843,507,661710943830025,двухэтажный каменный жилой дом,,регионального значения,памятник,,,,
844,508,661710943830035,ворота и ограда,,регионального значения,памятник,,,,
845,509,661710943830045,металлическое ограждение палисадника,,регионального значения,памятник,,,,
846,510,661710943830015,хозпостройки (перестроены),,регионального значения,памятник,,,"ул. Октябрьской революции, д. 33а",
847,511,661720943840005,"Усадьба первого на Урале садовода-селекционера 
Д.И. Казанцева",,регионального значения,ансамбль,535; 37-п,,"ул. Октябрьской революции, д. 40",
848,512,661710943840015,Жилой дом,,регионального значения,памятник,,,,
849,513,661720943840025,Плодовый сад,,регионального значения,ансамбль,,,,
850,514,661720821350005,Усадьба Антипина П.А.,"вторая половина
XIX в.",регионального значения,ансамбль,859-ПП,,"ул. Октябрьской революции, д. 52",
851,515,661710821350015,главный дом,,регионального значения,памятник,,,,
852,516,661710821350025,флигель,,регионального значения,памятник,,,,
853,517,661720801120005,Дачи управления садово-паркового хозяйства,,регионального значения,ансамбль,75,,ул. Отдыха,
854,518,661710801120045,корпус 5 – одноэтажный дом,конец XIX-начало XX в.,регионального значения,памятник,,,,
855,519,661710801120035,корпус 6 – одноэтажный дом,конец XIX-начало XX в.,регионального значения,памятник,,,,
856,520,661710801120025,корпус 9 – одноэтажный дом,начало XX в.,регионального значения,памятник,,,,
857,521,661710801120015,корпус 14 – двухэтажный дом (модерн),начало XX в.,регионального значения,памятник,,,,
858,522,661710772990005,Загородная дача (модерн),начало XX в.,регионального значения,памятник,75,,"ул. Отдыха, д. 55",
859,523,661710774070005,Памятник Я.М. Свердлову,"1927 г., скульптор
М.Л. Харламов",регионального значения,памятник,"1327, 
приложение № 2",,площадь Парижской Коммуны,
860,524,661710765760005,Памятник Орджоникидзе Г.К.,"1955 г., скульптор 
Г.В. Нерода, архитектор А.А. Бойко",регионального значения,памятник,"1327, 
приложение № 1;
452; 1306-п",,Первой Пятилетки пл.,
861,525,661710974880005,"Могила Банникова А.П., первого директора Уральского машиностроительного завода",1895-1935 гг.,регионального значения,памятник,624; 452; 1306-п,,Первой пятилетки пл.,
862,526,661710775650005,"Купеческий особняк, построен в классическом стиле, имеет интересные оконные проемы",конец XIX в.,регионального значения,памятник,16,,"ул. Первомайская, д. 7",
863,527,661720998480005,Усадьба купца М.О. Назарова,"середина 
XIX в. - 1900 г.",регионального значения,ансамбль,75; 1056-ПП,,"ул. Первомайская, 
д. 11",
864,528,661710998480015,гостиница,,регионального значения,памятник,,,,
865,529,661710998480025,ограда с воротами,,регионального значения,памятник,,,,
866,530,661710764940005,Дом чиновника Я.С. Стахиева,"первая половина
XIX в.",регионального значения,памятник,75; 1056-ПП,,"ул. Первомайская, 
д. 13/16",
867,531,661710765700005,"Концертный зал 
И.З. Маклецкого","1901 г., архитектор Ю.О. Дютель",регионального значения,памятник,454; 1056-ПП,,"ул. Первомайская, 
д. 22",
868,532,661710765750005,"Дом культуры 
им. А.М. Горького",1930-1950-е гг.,регионального значения,памятник,75; 1056-ПП,,"ул. Первомайская, 
д. 24",
869,533,661710765310006,Окружной дом офицеров,"1938-1940 гг., архитектор В.В. Емельянов",федерального значения,памятник,624,,"ул. Первомайская, 
д. 27",
870,534,661710765670005,Дом жилой в стиле конструктивизма,1930-е гг.,регионального значения,памятник,859-ПП,,"ул. Первомайская, 
д. 43",
871,535,661710787830005,Бани,1950-е гг.,регионального значения,памятник,859-ПП,,"ул. Первомайская, 
д. 71",
872,536,661710986370006,Бюст П.П. Бажова,"1956 г.,
скульптор 
М.Г. Манизер, архитектор И.Е. Рожин",федерального значения,памятник,"1327, 
приложение № 1",,плотина городского пруда,
873,537,661710756600005,Дом городского головы Симанова как пример городского особняка второй половины XIX в.,1860-1870-е гг.,регионального значения,памятник,454,,"ул. Попова, д. 4",
874,538,661710770810005,Дом Рожнова И.Ф.,"середина 
XIX в.",регионального значения,памятник,859-ПП,,"ул. Попова, д. 11",
875,539,661710995940005,Преображенская церковь,"1808-1830 гг.,
1863-1867 гг., 1990-е гг. реставрация",регионального значения,памятник,859-ПП; 207-ПП,,"ул. Походная, д. 2",
876,540,661710782250006,Памятник Уральскому добровольческому танковому корпусу,"1962 г., скульпторы В.М. Друзин, П.А. Сажин, архитектор Г.И. Белянкин",федерального значения,памятник,624,,Привокзальная пл.,
877,541,661610735350005,"Дом фабриканта, богатый художественной лепкой 
во внутренних помещениях",1880-1890-е гг.,регионального значения,памятник,16,,"ул. Пролетарская, д. 3",
878,542,661710943970005,"Дом, где родился писатель-демократ Ф.М. Решетников",,регионального значения,памятник,16,,"ул. Пролетарская, д. 6",
879,543,661710943960005,"Дом, в котором располагалось общество уральских горных техников под руководством 
Ф.Ф. Сыромолотова  
и находилась конспиративная квартира Екатеринбургского комитета РСДРП (б)",1901-1905 гг.,регионального значения,памятник,16,,"ул. Пролетарская, д. 9",
880,544,661710986450005,Дом жилой В.И. Иванова,"1912 г., архитектор Янковский, воссоздание 1986 г.",регионального значения,памятник,16; 1056-ПП,,"ул. Пролетарская, д. 10",
881,545,661710995260005,Здание «лечебницы врачей-специалистов»,1913 г.,регионального значения,памятник,75,,"ул. Пушкина, д. 1/
ул. Малышева, д. 37",
882,546,661720998500005,"Усадьба «Товарищества 
А. Печенкина и К»",XIX в.,регионального значения,ансамбль,75,,"ул. Пушкина, д. 2/ 
ул. Малышева, д. 39",
883,547,661710998500015,дом с мансардой,,регионального значения,памятник,,,,
884,548,661710998500025,ворота и каменная ограда,,регионального значения,памятник,,,,
885,549,661710998500035,флигель,,регионального значения,памятник,,,,
886,550,661721097810005,Комплекс бывшей гостиницы «Россия»,,регионального значения,ансамбль,75,,"ул. Пушкина, стр. 3",
887,551,661711097810025,двухэтажное здание гостиницы в духе эклектики,конец XIX в.,регионального значения,памятник,,,,
888,552,661711097810035,служебное здание в стиле модерн,начало XX в.,регионального значения,памятник,,,,
889,553,661711097810015,двое ворот,1893 г.,регионального значения,памятник,,,,
890,554,661710765000005,Доходный дом Г.В. Уварова,конец XIX в.,регионального значения,памятник,75,,"ул. Пушкина, д. 4",
891,555,661710986440005,Дом П.Е. Загайнова,"вторая половина
XIX в.",регионального значения,памятник,75,,"ул. Пушкина, д. 5",
892,556,661720998460005,"Гостиница «Эрмитаж» 
В.Г. Черепанова",1886 г.,регионального значения,ансамбль,75,,"ул. Пушкина, д. 7",
893,557,661710998460015,гостиница,,регионального значения,памятник,,,,
894,558,661710998460025,флигель,,регионального значения,памятник,,,,
895,559,661710998460035,конюшня,,регионального значения,памятник,,,,
896,560,661710998460045,баня,,регионального значения,памятник,,,,
897,561,661710986430005,Дом врача С.С. Асса,1900-е гг.,регионального значения,памятник,75; 1056-ПП,,"ул. Пушкина, д. 8",
898,562,661710755410004,2-й Дом горсовета,"1927-1928 гг., архитектор
С.В. Домбровский",местного (муниципального) значения,памятник,740-ПП,,"ул. Пушкина, д. 9, 
литеры А, А1, А2",
899,563,661710787840005,Дом А.А. Дрозжилова,1870-е гг.,регионального значения,памятник,75; 1056-ПП,,"ул. Пушкина, д. 12",
900,564,661710755420004,Жилой дом Уралплана,"1933 г.,
архитектор И.И. Робачевский",местного (муниципального) значения,памятник,740-ПП,,"ул. Пушкина, д. 14",
901,565,661710986420005,Аптека,,регионального значения,памятник,859-ПП,,"ул. Пушкина, д. 16",
902,566,661710974850005,"Здание бывшей почты, 
где останавливались декабристы на пути из Сибири","середина 
XIX в.",регионального значения,памятник,535,,"ул. Пушкина, д. 19",
903,567,661710763210006,"Дом, в котором жил Мамин-Сибиряк Дмитрий Наркисович в 1885-1891 гг. 
В доме – мемориальный музей Д.Н. Мамина-Сибиряка",,федерального значения,памятник,"1327, 
приложение № 1",,"ул. Пушкина, д. 27",
904,568,661710974860005,Здание Страховой кассы,1924 г.,регионального значения,памятник,75; 207-ПП,,"ул. Пушкина, д. 28 / 
ул. Первомайская, 
д. 14",
905,569,661710759180005,"Здание Педагогического института (Дом купца 
И.Г. Пшеничникова)","1830-е гг., архитекторы И.И. Свиязев, М.П. Малахов, XIX в.",регионального значения,памятник,"1327, 
приложение № 2; 1056-ПП",,"набережная Рабочей молодежи, д. 2",
906,570,661711004890006,Дом Главного начальника,1818 г.,федерального значения,памятник,"1327, 
приложение № 1",,"набережная Рабочей молодежи, д. 3 / 
пер. Химиков, д. 2",
907,571,661710975650005,"Дом, в котором в 1927 г. жил писатель Аркадий Гайдар (Голиков)",,регионального значения,памятник,16,,"набережная Рабочей молодежи, д. 23",
908,572,661620702880005,Усадьба купца Ваганова,XIX в.,регионального значения,ансамбль,16; 75,,"ул. Радищева, д. 6-8",
909,573,661610702880015,торговая лавка в кирпичном стиле,,регионального значения,памятник,,,"ул. Радищева, д. 6",
910,574,661610702880025,ворота,,регионального значения,памятник,,,"ул. Радищева, д. 6-8",
911,575,661810702880045,"Полукаменный дом, украшенный деревянной резьбой",1911 г.,регионального значения,памятник,16,,"ул. Радищева, д. 8",
912,576,661810702880035,"Флигель, украшенный деревянной резьбой",1911 г.,регионального значения,памятник,,,"ул. Радищева, д. 8",
913,577,661710944160005,Мастерские в кирпичном стиле,1890-е гг.,регионального значения,памятник,75,,"ул. Радищева, д. 16",
914,578,661711086610005,"Дом, где в квартире большевика М.А. Герцмана 
в 1905-1906 гг. хранилось оружие Екатеринбургской боевой дружины",1905-1907 гг.,регионального значения,памятник,75,,"ул. Радищева, д. 27",
915,579,,Здание института охраны материнства и младенчества,1929-1930-е гг.,регионального значения,памятник,682,,"ул. Репина, д. 1",
916,580,661710975660005,Институт медицинский,1950-е гг.,регионального значения,памятник,859-ПП,,"ул. Репина, д. 3",
917,581,681420018050005,Стадион «Центральный». Комплекс,"1957 г., архитекторы С.А. Васильев, Ю.А. Владимирский",регионального значения,ансамбль,"859-ПП; 
207-ПП;
1181-ПП; 84-ПП",,"ул. Репина, д. 5",
918,582,681420018050015,фасад восточной трибуны главной спортивной арены,,регионального значения,памятник,,,"ул. Репина, д. 5,
литер А",
919,583,681420018050025,фасад западной трибуны главной спортивной арены,,регионального значения,памятник,,,"ул. Репина, д. 5,
литер А3",
920,584,681420018050035,кассы билетные с воротами главного входа восточные,,регионального значения,памятник,,,"ул. Репина, д. 5,
литер М, Л",
921,585,681420018050045,кассы билетные с воротами западные,,регионального значения,памятник,,,"ул. Репина, д. 5,
литер N, О",
922,586,681420018050055,"ограда металлическая 
с кирпичными столбами",,регионального значения,памятник,,,"ул. Репина, д. 5, 
литер XVI, XXXV, XXXVI",
923,587,661711004800005,Церковь Иоанна Предтечи (действующая),1860-1886 гг.,регионального значения,памятник,75,,"ул. Репина, д. 6",
924,588,661721078490005,Дом купца Н.Г. Бабикова,"1899 г., архитектор Ю.О. Дютель",регионального значения,ансамбль,"75; 859-ПП; 
1056-ПП",,"ул. Розы Люксембург, д. 1, д. 1а",
925,589,661711078490015,Флигель,,регионального значения,памятник,,,"ул. Розы Люксембург, 
д. 1-а",
926,590,661710765660005,Особняк В.А. Бибикова,"середина-вторая половина
XIX в.",регионального значения,памятник,75,,"ул. Розы Люксембург, д. 3",
927,591,661710756620005,Дом купца Суслова П.П.,конец XIX в.,регионального значения,памятник,859-ПП,,"ул. Розы Люксембург, д. 5",
928,592,661710756630005,Дом купца С.И. Лопатина,"вторая половина
XIX в.",регионального значения,памятник,75,,"ул. Розы Люксембург, д. 7",
929,593,661710995410005,Дом жилой,"рубеж 
XIX-XX вв.",регионального значения,памятник,859-ПП,,"ул. Розы Люксембург, 
д. 8-10, литер А",
930,594,661711004790005,Дом Левитских,,регионального значения,памятник,16; 1056-ПП,,"ул. Розы Люксембург, д. 9",
931,595,661710995330005,"Дом, в котором родился 
и провел детские годы 
И.Г. Толмачев, герой гражданской войны",,регионального значения,памятник,75,,"ул. Розы Люксембург, д. 10",
932,596,661711004990005,"Дом камнереза Трапезникова, как образец деревянного зодчества с кружевным орнаментом и узорной металлической изгородью",1902 г.,регионального значения,памятник,16,,"ул. Розы Люксембург, д. 14",
933,597,661721004980005,Усадьба камнереза Трапезникова,1896 г.,регионального значения,ансамбль,75,,"ул. Розы Люксембург, 
д. 14а",
934,598,661711004980015,двухэтажный полукаменный флигель,,регионального значения,памятник,,,,
935,599,661710751540005,"Дом, во дворе которого находилась частная типография, где 22 апреля 1917 г. вышел первый номер газеты «Уральский рабочий» под названием «Уральская правда»",,регионального значения,памятник,75,,"ул. Розы Люксембург, д. 15",
936,600,661710751450005,"Доходный дом Кузнецовой 
в стиле модерн",1896-1910 гг.,регионального значения,памятник,75,,"ул. Розы Люксембург, д. 16",
937,601,661710755430004,Дом Г.С. Кудрина,"1884 г., архитектор
А.И. Падучев",местного (муниципального) значения,памятник,740-ПП,,"ул. Розы Люксембург, д. 18",
938,602,661710767360005,Дом К.В. Лукина,1880-1890-е гг.,регионального значения,памятник,454; 1056-ПП,,"ул. Розы Люксембург, д. 19",
939,603,661710758340005,Дом Мевиус В.Ф.,"середина 
XIX в.",регионального значения,памятник,859-ПП,,"ул. Розы Люксембург, д. 20",
940,604,661710759160005,Дом А.М. Фомина,1900-е гг.,регионального значения,памятник,75; 1056-ПП,,"ул. Розы Люксембург, д. 26",
941,605,661710758300005,"Дом, в котором размещались первые из Уральских профсоюзов - Союз металлургов и Союз деревоотделочников",1917-1918 гг.,регионального значения,памятник,75,,"ул. Розы Люксембург, д. 27",
942,606,661711004930005,"Дом, в котором в 1874 г. родился Л.В. Туржанский, известный художник-пейзажист",,регионального значения,памятник,75,,"ул. Розы Люксембург, д. 30",
943,607,661710765300005,Здание Русского общества торговли аптекарскими товарами,1896 г.,регионального значения,памятник,535,,"ул. Розы Люксембург, д. 34",
944,608,661710758310005,Дом Оленева Ф.В.,"середина 
XIX в., архитектор 
Э. Сарториус",регионального значения,памятник,859-ПП,,"ул. Розы Люксембург, д. 36",
945,609,661710767610005,Дом К.В. Рейнфельда,"вторая половина
XIX в.",регионального значения,памятник,75,,"ул. Розы Люксембург, д. 38/13",
946,610,661710758320005,Дом Размахина М.Я.,"1886-1889 гг., архитектор
В.В. Коновалов",регионального значения,памятник,859-ПП,,"ул. Розы Люксембург, д. 39 /
ул. Карла Маркса, 
д. 18",
947,611,661710758330005,Дом А.Е. Шубиной,начало XX в.,регионального значения,памятник,75,,"ул. Розы Люксембург, д. 43",
948,612,661710755440004,Дом А.С. Ягодкиной,1880-е гг.,местного (муниципального) значения,памятник,740-ПП,,"ул. Розы Люксембург, д. 45",
949,613,661720974900005,Усадьба Н.А. Сусловой,"середина 
XIX в.,
1870-1890-е гг., 2010-2011гг. реконструкция",регионального значения,ансамбль,"75; 207-ПП; 
757-ПП",,"ул. Розы Люксембург, д. 50 / ул. Куйбышева, д. 69",
950,614,661710974900015,дом,,регионального значения,памятник,,,,
951,615,661710974900025,ограда кирпичная с воротами,,регионального значения,памятник,,,,
952,616,661711097800005,Дом Шевкуновой Е.И.,"первая половина 
XIX в.",регионального значения,памятник,859-ПП,,"ул. Розы Люксембург, д. 51",
953,617,661711035490005,Жилой дом в стиле классицизма,"середина
XIX в.",регионального значения,памятник,75,,"ул. Розы Люксембург, д. 53",
954,618,661720777590005,Загородная усадьба Самарцева,"середина
XIX в.",регионального значения,ансамбль,454,,"ул. Розы Люксембург, д. 54",
955,619,661710777590015,дом,,регионального значения,памятник,,,,
956,620,661710777590035,флигель,,регионального значения,памятник,,,,
957,621,661710777590025,ворота,,регионального значения,памятник,,,,
958,622,661720764380005,Бывшая усадьба Железнова,,регионального значения,ансамбль,889,,"ул. Розы Люксембург, д. 56",
959,623,661710764880005,Церковь Святой Троицы (Рязановская),"1815-1854 гг., реконструкция 2001 г.",регионального значения,памятник,454; 1056-ПП,,"ул. Розы Люксембург, д. 57",
960,624,661710802100005,"Здание земской управы, 
где 18 октября 1905 г. состоялось первое открытое выступление Я.М. Свердлова",,регионального значения,памятник,75,,"ул. Розы Люксембург, д. 60",
961,625,661720770820005,Комплекс медопивоваренного завода Гребенькова и Холкина,"вторая половина
XIX в.",регионального значения,ансамбль,75,,"ул. Розы Люксембург, д. 62",
962,626,661710770830005,Усадебный дом в стиле классицизма,"середина 
XIX в.",регионального значения,памятник,75,,"ул. Розы Люксембург, д. 62",
963,627,661720770840005,Усадьба,,регионального значения,ансамбль,859-ПП,,"ул. Розы Люксембург, д. 62",
964,628,661710770840015,флигель,,регионального значения,памятник,,,"ул. Розы Люксембург, д. 62",
965,629,661710995400005,Дом Л.Н. Казанцевой,"1886-1892 гг., техник 
Е.М. Косяков",регионального значения,памятник,75; 1056-ПП,,"ул. Розы Люксембург, д. 63",
966,630,661720775230005,"Усадьба Я.И. Панфилова, бывшая палата мер и весов",1830 г.,регионального значения,ансамбль,75,,"ул. Розы Люксембург, 
д. 65-67",
967,631,661710775230015,дом в стиле позднего русского классицизма,,регионального значения,памятник,,,"ул. Розы Люксембург, 
д. 65",
968,632,661710775230025,флигель,,регионального значения,памятник,,,"ул. Розы Люксембург, 
д. 67",
969,633,661710775230035,парадные ворота с кованой решеткой,,регионального значения,памятник,,,"ул. Розы Люксембург, 
д. 65-67",
970,634,661720761360005,Усадьба Беленкова,"конец XVIII-вторая половина 
XIX в.",регионального значения,ансамбль,75,,"ул. Розы Люксембург, д. 73",
971,635,661710761360015,жилой дом со сводами,,регионального значения,памятник,,,,
972,636,661710761360025,Т-образный флигель,,регионального значения,памятник,,,,
973,637,661710761360035,амбар деревянный двухярусный,,регионального значения,памятник,,,,
974,638,661720761360045,сад,,регионального значения,ансамбль,,,,
975,639,661710761360055,ограда и ворота,,регионального значения,памятник,,,,
976,640,661610747770005,Дом и церковь Троицкая Общества старообрядцев (Австрийская церковь),"середина 
XIX в.",регионального значения,памятник,859-ПП,,"ул. Розы Люксембург, д. 75",
977,641,661710759220005,Дом К.М. Панова,1890-е гг.,регионального значения,памятник,16; 1056-ПП,,"ул. Сакко и Ванцетти, д. 23",
978,642,661710974920005,Дом купцов Агафуровых,1890-е гг.,регионального значения,памятник,16; 1056-ПП,,"ул. Сакко и Ванцетти, д. 24",
979,643,661710759230005,Дом купца А.С. Лебедева,1890-е гг.,регионального значения,памятник,16; 1056-ПП,,"ул. Сакко и Ванцетти, д. 25",
980,644,661710759150005,Дом купцов Агафуровых,1896 г.,регионального значения,памятник,16; 1056-ПП,,"ул. Сакко и Ванцетти, д. 28",
981,645,661710765650005,Дом Ремезова Т.В.,"середина 
XIX в.",регионального значения,памятник,859-ПП,,"ул. Сакко и Ванцетти, д. 45",
982,646,661710974930005,Дом жилой,"рубеж 
XIX-XX вв.",регионального значения,памятник,859-ПП,,"ул. Сакко и Ванцетти, д. 52",
983,647,661721017100005,Усадьба купцов Ермолаевых,"рубеж 
XIX-XX вв.",регионального значения,ансамбль,75; 1056-ПП,,"ул. Сакко и Ванцетти, д. 58а",
984,648,661711017100025,дом жилой,,регионального значения,памятник,,,,
985,649,661711017100015,ворота,,регионального значения,памятник,,,,
986,650,661710767640005,Дом жилой,конец XIX в.,регионального значения,памятник,859-ПП,,"ул. Сакко и Ванцетти, д. 69",
987,651,661720944190005,Городская усадьба,конец XIX в.,регионального значения,ансамбль,75,,"ул. Сакко и Ванцетти, д. 115",
988,652,661710944190035,жилой дом,,регионального значения,памятник,,,,
989,653,661710944190015,парадные ворота,,регионального значения,памятник,,,,
990,654,661710944190025,чугунная ограда,,регионального значения,памятник,,,,
991,655,661710767660005,Фабрика-кухня,1930-е гг.,регионального значения,памятник,75,,"ул. Свердлова, д. 8",
992,656,661720943890005,Ансамбль градостроительный,,регионального значения,ансамбль,859-ПП; 1056-ПП,,ул. Свердлова,
993,657,661710943890015,здание Гипротранса,,регионального значения,памятник,,,"ул. Свердлова, д. 11а",
994,658,661710943890025,дом жилой,"1960 г., архитектор М.В. Рейшер",регионального значения,памятник,,,"ул. Свердлова, д. 11",
995,659,661710943890035,дом-вставка жилой,,регионального значения,памятник,,,"ул. Свердлова, д. 15",
996,660,661710943890045,дом жилой,,регионального значения,памятник,,,"ул. Свердлова, д. 22",
997,661,661710943890055,дом жилой,"1958 г., архитектор
С. Домбровский",регионального значения,памятник,,,"ул. Свердлова, д. 25",
998,662,661710943890065,дом жилой с башней,"1954 г.,
В.В. Безруков",регионального значения,памятник,,,"ул. Свердлова, д. 27",
999,663,661710943890075,дом жилой с кинотеатром,"1955 г., архитектор
Е.В. Емельянов",регионального значения,памятник,,,"ул. Свердлова, д. 30",
1000,664,661710943890085,дом жилой с аркой,"1956 г., архитектор 
Е.В. Емельянов",регионального значения,памятник,,,"ул. Свердлова, д. 34",
1001,665,661710943890095,дом жилой,"1956 г., архитектор Ситников",регионального значения,памятник,,,"ул. Свердлова, д. 56",
1002,666,661710943890105,дом жилой,"1955 г., архитектор М.В. Рейшер",регионального значения,памятник,,,"ул. Свердлова, д. 58",
1003,667,661710943890115,дом жилой,"1955 г., архитектор И.А. Грушенко",регионального значения,памятник,,,"ул. Свердлова, д. 60",
1004,668,661710943890125,дом жилой,"1955 г., архитектор И.А. Грушенко",регионального значения,памятник,,,"ул. Свердлова, д. 62",
1005,669,661710943890135,дом жилой,"1957 г., архитектор И.А. Грушенко",регионального значения,памятник,,,"ул. Свердлова, д. 66",
1006,670,661710995370005,Церковь,XVIII-XIX вв.,регионального значения,памятник,859-ПП,,"Сибирский тракт, д. 19",
1007,671,661710995360005,"Здание павильона механизации Уральского лесотехнического института, где в 1964-1976 гг. работал селекционер-биохимик Л.И. Вигоров",,регионального значения,памятник,454,,"Сибирский тракт, д. 37",
1008,672,661721293200005,Усадьба,начало XX в.,регионального значения,ансамбль,75,,"Сибирский тракт, 14 км",
1009,673,661711293200015,жилой дом,,регионального значения,памятник,,,,
